"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.273856250E-1,2.025288391E-1,8.891510010E-2,9.777367859E0,9.779869430E0
7.374456250E-1,1.917512512E-1,7.858657837E-2,9.730664978E0,9.732871380E0
7.475066250E-1,1.930984497E-1,7.200027466E-2,9.862840118E0,9.864992968E0
7.575672500E-1,1.992356873E-1,7.439529419E-2,9.861642609E0,9.863935546E0
7.676282500E-1,1.913021851E-1,6.212081909E-2,9.713450775E0,9.715533000E0
7.776892500E-1,2.011816406E-1,6.077362061E-2,9.751920776E0,9.754185067E0
7.877492500E-1,2.068698120E-1,7.379653931E-2,9.899364166E0,9.901800440E0
7.978102500E-1,2.113604736E-1,7.634124756E-2,9.836644592E0,9.839211252E0
8.078712500E-1,2.074685669E-1,7.424560547E-2,9.722731476E0,9.725228170E0
8.179322500E-1,2.167492676E-1,8.187973022E-2,9.770182800E0,9.772929780E0
8.279932500E-1,2.110610962E-1,9.654922485E-2,9.850266266E0,9.853000256E0
8.380532500E-1,2.185455322E-1,1.047821045E-1,9.758207703E0,9.761217086E0
8.481142500E-1,2.246827698E-1,1.014889526E-1,9.695188751E0,9.698322911E0
8.581752500E-1,2.179467773E-1,1.100212097E-1,9.829609222E0,9.832640690E0
8.682362500E-1,2.299218750E-1,1.237925720E-1,9.850715332E0,9.854175827E0
8.782972500E-1,2.189945984E-1,1.231938171E-1,9.641899567E0,9.645173021E0
8.883572500E-1,1.942959595E-1,1.281335449E-1,9.702523499E0,9.705314594E0
8.984182500E-1,1.950444031E-1,1.384620667E-1,9.857750702E0,9.860652259E0
9.084792500E-1,1.863624573E-1,1.329235840E-1,9.725874939E0,9.728568393E0
9.185402500E-1,1.908531189E-1,1.221459961E-1,9.552834778E0,9.555521799E0
9.286012500E-1,2.089654541E-1,1.287322998E-1,9.800719299E0,9.803791988E0
9.386622500E-1,2.195933533E-1,1.210981750E-1,9.909542999E0,9.912715494E0
9.487222500E-1,2.245330811E-1,9.535171509E-2,9.617200928E0,9.620294213E0
9.587832500E-1,2.154020691E-1,6.586303711E-2,9.691446533E0,9.694063745E0
9.688442500E-1,2.258802795E-1,7.694000244E-2,9.941277008E0,9.944140497E0
9.789052500E-1,2.511776733E-1,9.714797974E-2,9.803114319E0,9.806812851E0
9.889662500E-1,2.300715637E-1,9.849517822E-2,9.672885132E0,9.676122209E0
9.990262500E-1,2.160008240E-1,1.083746338E-1,9.866582336E0,9.869541449E0
1.009087250E0,2.044747925E-1,1.172062683E-1,9.929301910E0,9.932098654E0
1.019148250E0,1.749861145E-1,1.010398865E-1,9.772577820E0,9.774666564E0
1.029209250E0,1.565744019E-1,9.086105347E-2,9.827363892E0,9.829031098E0
1.039270250E0,1.691482544E-1,9.909393311E-2,1.003243744E1,1.003435258E1
1.049330250E0,1.676513672E-1,9.819580078E-2,9.966724091E0,9.968617682E0
1.059391250E0,1.568737793E-1,9.580078125E-2,9.770332489E0,9.772061406E0
1.069452250E0,1.880090332E-1,9.819580078E-2,9.887239380E0,9.889514263E0
1.079513250E0,2.134561157E-1,1.109193420E-1,1.001701950E1,1.001990750E1
1.089574250E0,2.228865051E-1,1.014889526E-1,9.833351440E0,9.836400711E0
1.099634250E0,2.194436646E-1,9.145980835E-2,9.760752411E0,9.763647272E0
1.109695250E0,2.233355713E-1,8.816665649E-2,9.905202026E0,9.908111794E0
1.119756250E0,2.350112915E-1,8.517288208E-2,9.895322571E0,9.898479353E0
1.129817250E0,2.224374390E-1,9.445358276E-2,9.695787506E0,9.698798650E0
1.139878250E0,2.163002014E-1,9.325607300E-2,9.696835327E0,9.699695760E0
1.149939250E0,2.125579834E-1,1.001417542E-1,9.807006226E0,9.809820609E0
1.159999250E0,2.062710571E-1,1.140628052E-1,9.717192993E0,9.720051324E0
1.170060250E0,2.007325745E-1,1.124162292E-1,9.607471161E0,9.610225444E0
